,id,type,n_likes,n_comments
263,264,Sidecar,181546.0,243.0
264,265,Sidecar,139328.0,213.0
265,266,Sidecar,783.0,266.0
266,267,Sidecar,169254.0,135.0
267,268,Sidecar,183318.0,224.0
268,269,Sidecar,4469.0,27.0
269,270,Sidecar,326587.0,920.0
270,271,Sidecar,271322.0,269.0
271,272,Sidecar,4651.0,36.0
272,273,Sidecar,1072.0,24.0
273,274,Sidecar,5791.0,15.0
274,275,Sidecar,1343.0,29.0
275,276,Sidecar,10868.0,50.0
276,277,Sidecar,160851.0,190.0
277,278,Sidecar,3176.0,11.0
278,279,Sidecar,2324.0,58.0
279,280,Sidecar,279149.0,335.0
280,281,Sidecar,2962.0,22.0
281,282,Sidecar,14430.0,140.0
282,283,Sidecar,177363.0,226.0
283,284,Sidecar,182871.0,260.0
284,285,Sidecar,239973.0,298.0
285,286,Sidecar,1261.0,33.0
286,287,Sidecar,5500.0,184.0
287,288,Sidecar,171051.0,195.0
288,289,Sidecar,594.0,18.0
289,290,Sidecar,142.0,5.0
290,291,Sidecar,211907.0,305.0
291,292,Sidecar,2266.0,33.0
292,293,Sidecar,1169.0,9.0
293,294,Sidecar,155667.0,300.0
294,295,Sidecar,188855.0,174.0
295,296,Sidecar,2388.0,74.0
296,297,Sidecar,2840.0,87.0
297,298,Sidecar,34028.0,345.0
298,299,Sidecar,144890.0,549.0
299,300,Sidecar,2093.0,51.0
300,301,Sidecar,133661.0,606.0
301,302,Sidecar,293319.0,962.0
302,303,Sidecar,65213.0,900.0
303,304,Sidecar,2099.0,46.0
304,305,Sidecar,1414.0,27.0
305,306,Sidecar,626797.0,2616.0
306,307,Sidecar,1535.0,117.0
307,308,Sidecar,2133.0,5.0
308,309,Sidecar,131412.0,500.0
309,310,Sidecar,2264.0,47.0
310,311,Sidecar,1339.0,28.0
311,312,Sidecar,2510.0,37.0
312,313,Sidecar,111731.0,351.0
313,314,Sidecar,168.0,18.0
314,315,Sidecar,109.0,23.0
315,316,Sidecar,60.0,8.0
316,317,Sidecar,153.0,9.0
317,318,Sidecar,37547.0,333.0
318,319,Sidecar,171734.0,271.0
319,320,Sidecar,301264.0,367.0
320,321,Sidecar,167.0,10.0
321,322,Sidecar,23991.0,199.0
322,323,Sidecar,557936.0,709.0
323,324,Sidecar,168094.0,198.0
324,325,Sidecar,251.0,21.0
325,326,Sidecar,131995.0,234.0
326,327,Sidecar,161164.0,234.0
327,328,Sidecar,151705.0,216.0
328,329,Sidecar,159580.0,219.0
329,330,Sidecar,112616.0,181.0
330,331,Sidecar,111842.0,209.0
331,332,Sidecar,945.0,25.0
332,333,Sidecar,1304.0,11.0
333,334,Sidecar,1364.0,24.0
334,335,Sidecar,256.0,2.0
335,336,Sidecar,1644.0,90.0
336,337,Sidecar,2058.0,89.0
337,338,Sidecar,7593.0,354.0
338,339,Sidecar,1679.0,90.0
339,340,Sidecar,10714.0,811.0
340,341,Sidecar,3331.0,98.0
341,342,Sidecar,142624.0,222.0
342,343,Sidecar,923.0,292.0
343,344,Sidecar,1373.0,59.0
344,345,Sidecar,67099.0,736.0
345,346,Sidecar,27969.0,299.0
346,347,Sidecar,2131.0,720.0
347,348,Sidecar,42531.0,450.0
348,349,Sidecar,133.0,3.0
349,350,Sidecar,177.0,17.0
350,351,Sidecar,135781.0,802.0
351,352,Sidecar,204.0,16.0
352,353,Sidecar,124.0,12.0
353,354,Sidecar,137771.0,825.0
354,355,Sidecar,164899.0,722.0
355,356,Sidecar,11390.0,87.0
356,357,Sidecar,12095.0,116.0
357,358,Sidecar,17128.0,99.0
358,359,Sidecar,14972.0,118.0
359,360,Sidecar,3989.0,46.0
360,361,Sidecar,7926.0,41.0
361,362,Sidecar,189846.0,999.0
362,363,Sidecar,1907.0,13.0
363,364,Sidecar,10132.0,86.0
364,365,Sidecar,4305.0,20.0
365,366,Sidecar,267365.0,361.0
366,367,Sidecar,3783.0,63.0
367,368,Sidecar,5435.0,36.0
368,369,Sidecar,2506.0,16.0
369,370,Sidecar,12005.0,88.0
370,371,Sidecar,1129550.0,2764.0
371,372,Sidecar,597770.0,783.0
372,373,Sidecar,363316.0,1298.0
373,374,Sidecar,452771.0,2843.0
374,375,Sidecar,872379.0,3908.0
375,376,Sidecar,257872.0,2313.0
376,377,Sidecar,4625.0,38.0
377,378,Sidecar,2144.0,15.0
378,379,Sidecar,431.0,8.0
379,380,Sidecar,412.0,14.0
380,381,Sidecar,281854.0,1022.0
381,382,Sidecar,551132.0,951.0
382,383,Sidecar,300214.0,1388.0
383,384,Sidecar,649366.0,1761.0
384,385,Sidecar,982.0,263.0
385,386,Sidecar,561506.0,1198.0
386,387,Sidecar,511298.0,592.0
387,388,Sidecar,564079.0,1742.0
388,389,Sidecar,242482.0,875.0
389,390,Sidecar,502956.0,514.0
